mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,47,48,1877670,1,2,1,1,1,0.001465,0.001465,0.0,9318400,26902528,799383552,973131776,1,100,18
903cb3bb245d,47,48,1877730,1,3,1,1,1,0.0,0.0,0.0,9318400,26902528,799350784,973131776,1,100,18
903cb3bb245d,47,48,1877790,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799485952,973131776,1,100,18
903cb3bb245d,47,48,1877850,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,799154176,973131776,1,100,18
903cb3bb245d,47,48,1877910,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,798875648,973131776,1,100,18
903cb3bb245d,47,48,1877970,1,1,1,1,1,0.080079,0.016602,0.005371,9318400,26902528,798810112,973131776,1,100,18
903cb3bb245d,47,48,1878030,1,2,1,1,1,0.027344,0.010742,0.0,9318400,26902528,799424512,973131776,1,100,18
903cb3bb245d,47,48,1878090,1,2,1,1,1,0.007813,0.004883,0.0,9318400,26902528,799924224,973131776,1,100,18
903cb3bb245d,47,48,1878150,1,2,1,1,1,0.000977,0.0,0.0,9318400,26902528,799391744,973131776,1,100,18
903cb3bb245d,47,48,1878210,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799567872,973131776,1,100,18
903cb3bb245d,47,48,1878330,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799686656,973131776,1,100,18
903cb3bb245d,47,48,1878390,1,3,1,1,1,0.0,0.0,0.0,9318400,26902528,799477760,973131776,1,100,18
903cb3bb245d,47,48,1878450,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799047680,973131776,1,100,18
903cb3bb245d,47,48,1878511,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,799350784,973131776,1,100,18
903cb3bb245d,47,48,1878571,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,799432704,973131776,1,100,18
903cb3bb245d,47,48,1878631,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799281152,973131776,1,100,18
903cb3bb245d,47,48,1878691,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799207424,973131776,1,100,18
903cb3bb245d,47,48,1878751,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799535104,973131776,1,100,18
903cb3bb245d,47,48,1878811,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799416320,973131776,1,100,18
903cb3bb245d,47,48,1878871,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799240192,973131776,1,100,18
903cb3bb245d,47,48,1878931,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799113216,973131776,1,100,18
903cb3bb245d,47,48,1878991,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799154176,973131776,1,100,18
903cb3bb245d,47,48,1879051,1,1,1,1,1,0.0,0.0,0.0,9318400,26902528,799383552,973131776,1,100,18
903cb3bb245d,47,48,1879111,1,2,1,1,1,0.029786,0.011231,0.0,9318400,26902528,799145984,973131776,1,100,18
903cb3bb245d,47,48,1879171,1,2,1,1,1,0.0542,0.022461,0.001953,9318400,26902528,799096832,973131776,1,100,18
903cb3bb245d,47,48,1879231,1,3,1,1,1,0.086427,0.032715,0.004395,9318400,26902528,799105024,973131776,1,100,18
903cb3bb245d,47,48,1879291,1,3,1,1,1,0.029786,0.024903,0.0,9318400,26902528,799248384,973131776,1,100,18
903cb3bb245d,47,48,1879351,1,3,1,1,1,0.008789,0.019043,0.0,9318400,26902528,799162368,973131776,1,100,18
903cb3bb245d,47,48,1879412,1,3,1,1,1,0.001465,0.013184,0.0,9318400,26902528,799424512,973131776,1,100,18
903cb3bb245d,47,48,1879472,1,3,1,1,1,0.0,0.007324,0.0,9318400,26902528,799129600,973131776,1,100,18
903cb3bb245d,47,48,1879532,1,4,1,1,1,0.066896,0.018555,0.004395,9318400,26902528,799457280,973131776,1,100,18
903cb3bb245d,47,48,1879592,1,3,1,1,1,0.022461,0.012696,0.0,9318400,26902528,799256576,973131776,1,100,18
903cb3bb245d,47,48,1879652,1,1,1,1,1,0.005859,0.006836,0.0,9318400,26902528,799145984,973131776,1,100,18
903cb3bb245d,47,48,1879712,1,1,1,1,1,0.0,0.000977,0.0,9318400,26902528,799019008,973131776,1,100,18
903cb3bb245d,47,48,1879772,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799289344,973131776,1,100,18
903cb3bb245d,47,48,1879832,1,2,1,1,1,0.061524,0.015137,0.003906,9318400,26902528,799145984,973131776,1,100,18
903cb3bb245d,47,48,1879952,1,2,1,1,1,0.005371,0.003418,0.0,9318400,26902528,799408128,973131776,1,100,18
903cb3bb245d,46,47,1880012,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799145984,973131776,1,100,18
903cb3bb245d,47,47,1880072,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799223808,973131776,1,100,18
903cb3bb245d,47,48,1880132,1,2,1,1,1,0.046876,0.013672,0.002441,9318400,26902528,799264768,973131776,1,100,18
903cb3bb245d,47,48,1880192,1,1,1,1,1,0.015137,0.007813,0.0,9318400,26902528,799272960,973131776,1,100,18
903cb3bb245d,47,47,1880252,1,1,1,1,1,0.003906,0.001953,0.0,9318400,26902528,799289344,973131776,1,100,18
903cb3bb245d,46,47,1880313,1,2,1,1,1,0.0,0.0,0.0,9318400,26902528,799313920,973131776,1,100,18
903cb3bb245d,46,47,1880373,1,2,1,1,1,0.119631,0.029786,0.007324,9318400,26902528,799240192,973131776,1,100,18
903cb3bb245d,46,47,1880433,1,2,1,1,1,0.041993,0.023438,0.001465,9318400,26902528,799526912,973131776,1,100,18
903cb3bb245d,46,47,1880493,1,2,1,1,1,0.013672,0.017578,0.0,9318400,26902528,799432704,973131776,1,100,18
903cb3bb245d,46,47,1880553,1,2,1,1,1,0.003418,0.011719,0.0,9318400,26902528,799686656,973131776,1,100,18
903cb3bb245d,46,47,1880613,1,3,1,1,1,0.080079,0.02295,0.005371,9318400,26902528,799145984,973131776,1,100,18
903cb3bb245d,46,47,1880673,1,2,1,1,1,0.027344,0.01709,0.0,9318400,26902528,799051776,973131776,1,100,18
903cb3bb245d,46,47,1880733,1,1,1,1,1,0.007813,0.011231,0.0,9318400,26902528,799526912,973131776,1,100,18
903cb3bb245d,46,47,1880793,1,1,1,1,1,0.128908,0.039063,0.008789,9318400,26902528,799154176,973131776,1,100,18
903cb3bb245d,46,47,1880853,1,2,1,1,1,0.045899,0.028321,0.00293,9318400,26902528,799137792,973131776,1,100,18
903cb3bb245d,46,47,1880913,1,1,1,1,1,0.015137,0.022461,0.0,9318400,26902528,799105024,973131776,1,100,18
903cb3bb245d,46,47,1880973,1,2,1,1,1,0.039063,0.028809,0.000488,9318400,26902528,799113216,973131776,1,100,18
903cb3bb245d,46,47,1881033,1,2,1,1,1,0.012207,0.02295,0.0,9318400,26902528,799248384,973131776,1,100,18
903cb3bb245d,46,47,1881093,1,2,1,1,1,0.00293,0.01709,0.0,9318400,26902528,799432704,973131776,1,100,18
903cb3bb245d,46,47,1881154,1,3,1,1,1,0.0,0.011231,0.0,9318400,26902528,798986240,973131776,1,100,18
903cb3bb245d,46,47,1881214,1,1,1,1,1,0.0,0.005371,0.0,9318400,26902528,799526912,973131776,1,100,18
